comment_id,status_id,parent_id,comment_message,comment_author,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
10156004571684781_10156006810924781,122150409780_10156004571684781,,Ariana Sousa,0,2017-11-18 12:14:39,0,0,0,0,0,0,0,0
10156002816479781_10156011396099781,122150409780_10156002816479781,,I was just noticing how this campus could use another construction project in progress.,0,2017-11-20 03:32:22,1,0,0,0,1,0,0,0
10156002816479781_10156004099154781,122150409780_10156002816479781,,"That's cool, the Warren mall is already such a nice part of campus",0,2017-11-17 12:43:06,1,1,0,0,0,0,0,0
10156002816479781_10156006032154781,122150409780_10156002816479781,,Please expand the cse department so I can switch in? Please? 🙏🙏🙏,0,2017-11-18 06:31:46,0,0,0,0,0,0,0,0
10156002816479781_10156004406184781,122150409780_10156002816479781,,So glad to see that classrooms will be included!,0,2017-11-17 15:18:39,0,0,0,0,0,0,0,0
10156002816479781_10156011255064781,122150409780_10156002816479781,,Zachary Pierson...this is awesome! Hopefully it will be finished before you graduate!  Or maybe grad school?? :),0,2017-11-20 01:50:13,1,1,0,0,0,0,0,0
10156002816479781_10156005510369781,122150409780_10156002816479781,, [[PHOTO]],0,2017-11-18 00:49:37,0,0,0,0,0,0,0,0
10156002816479781_10156005764509781,122150409780_10156002816479781,,Hope I get accepted,0,2017-11-18 02:59:22,0,0,0,0,0,0,0,0
10155998005414781_10155999496844781,122150409780_10155998005414781,,Nice!  So proud of my Amanda.  She's also working on campus.,0,2017-11-16 01:12:17,1,1,0,0,0,0,0,0
10155998005414781_10155998995204781,122150409780_10155998005414781,, [[PHOTO]],0,2017-11-15 19:17:26,1,1,0,0,0,0,0,0
10155998005414781_10155998212784781,122150409780_10155998005414781,,Congrats!,0,2017-11-15 13:52:29,1,1,0,0,0,0,0,0
10155998005414781_10155999359594781,122150409780_10155998005414781,,Lydia Moya,0,2017-11-15 23:36:32,0,0,0,0,0,0,0,0
10155992244424781_10155992407974781,122150409780_10155992244424781,,"L'arnaque !?!

https://fr.m.wikipedia.org/wiki/Carbone_(film)",0,2017-11-13 13:51:54,0,0,0,0,0,0,0,0
10155973427404781_10155974334039781,122150409780_10155973427404781,,are we going to talk about the Compton Cookout? In order to make a difference we must first start the healing by being honest.,0,2017-11-06 21:37:17,3,3,0,0,0,0,0,0
10155973427404781_10155976603984781,122150409780_10155973427404781,10155973427404781_10155974334039781,That's a couple years ago. They've had white supremacists posting recruiting signs and chalking hate speech that promotes violence against minorities all in the last year.,0,2017-11-07 18:58:58,0,0,0,0,0,0,0,0
10155973427404781_10155976629829781,122150409780_10155973427404781,10155973427404781_10155974334039781,I am aware. I graduated last year. However UCSD does not do a good job in addressing these issues. They just sweep it under the rug and hope it goes away. It's a pattern.,0,2017-11-07 19:13:43,1,1,0,0,0,0,0,0
10155973427404781_10155974041424781,122150409780_10155973427404781,,"Prepare students for jobs when they graduate- more internships, better career services etc",0,2017-11-06 18:51:26,1,1,0,0,0,0,0,0
10155973427404781_10155974332039781,122150409780_10155973427404781,10155973427404781_10155974041424781,they already do. The resources are there people just don't take advantage of them.,0,2017-11-06 21:35:48,1,1,0,0,0,0,0,0
10155973427404781_10155983544199781,122150409780_10155973427404781,,Include some American Students while you're at it - smh,0,2017-11-10 10:27:21,1,1,0,0,0,0,0,0
10155973427404781_10155977240139781,122150409780_10155973427404781,,Feifan Wu   @1:00,0,2017-11-08 00:32:52,0,0,0,0,0,0,0,0
10155957252384781_10155957518474781,122150409780_10155957252384781,,Bri,0,2017-10-31 17:55:10,1,1,0,0,0,0,0,0
10155953636864781_10155956644104781,122150409780_10155953636864781,,Very Nice.,0,2017-10-31 12:23:40,0,0,0,0,0,0,0,0
10155945144449781_10155946258059781,122150409780_10155945144449781,,"Rhea Rhea look at the white sign on the Window in the first picture. a. It's my res hall building
b. There's a ton of those, the best one is a message in post its that says 'uc scam diego'",0,2017-10-27 21:38:49,3,2,0,0,1,0,0,0
10155945144449781_10155946348169781,122150409780_10155945144449781,10155945144449781_10155946258059781,OMG,0,2017-10-27 22:36:39,0,0,0,0,0,0,0,0
10155945144449781_10155947211884781,122150409780_10155945144449781,10155945144449781_10155946258059781,Hahahhaa,0,2017-10-28 07:30:49,0,0,0,0,0,0,0,0
10155945144449781_10155946068509781,122150409780_10155945144449781,,"Ahahahaha the fucken sign that says ""help""",0,2017-10-27 19:31:36,4,3,0,0,1,0,0,0
10155945144449781_10155946644279781,122150409780_10155945144449781,,Did y'all see this 🤔 Alen Esho David Osuna Raafat Samuail Edwin Martinez Guillermo Aguilar,0,2017-10-28 01:04:43,1,1,0,0,0,0,0,0
10155945144449781_10155946664024781,122150409780_10155945144449781,10155945144449781_10155946644279781,No 😞,0,2017-10-28 01:20:01,1,0,0,0,0,1,0,0
10155945144449781_10155946216904781,122150409780_10155945144449781,,Were you there Kaitlyn?,0,2017-10-27 21:13:21,0,0,0,0,0,0,0,0
10155945144449781_10155957225304781,122150409780_10155945144449781,10155945144449781_10155946216904781,no i wasn't :( but faith was haha,0,2017-10-31 16:12:59,0,0,0,0,0,0,0,0
10155945144449781_10155952248489781,122150409780_10155945144449781,,Muir lives on!,0,2017-10-29 22:40:13,0,0,0,0,0,0,0,0
10155945144449781_10155946386669781,122150409780_10155945144449781,,Wtf UCSD Wesley Partridge Kaela Wong Christine Stewart,0,2017-10-27 23:00:04,1,1,0,0,0,0,0,0
10155945144449781_10155946387524781,122150409780_10155945144449781,10155945144449781_10155946386669781,"I like how the window says ""help""",0,2017-10-27 23:00:45,2,2,0,0,0,0,0,0
10155945144449781_10155945939589781,122150409780_10155945144449781,,Nathan Orenstein did u go??,0,2017-10-27 18:15:33,0,0,0,0,0,0,0,0
10155945144449781_10155945941199781,122150409780_10155945144449781,10155945144449781_10155945939589781,Nah I didn’t know about it,0,2017-10-27 18:16:36,0,0,0,0,0,0,0,0
10155945144449781_10155945183589781,122150409780_10155945144449781,,dank,0,2017-10-27 16:02:41,3,0,1,0,0,2,0,0
10155945144449781_10155946643584781,122150409780_10155945144449781,,"lol, '420'",0,2017-10-28 01:04:17,1,1,0,0,0,0,0,0
10155945144449781_10155945965984781,122150409780_10155945144449781,,another pumpkin story - http://news.cornell.edu/stories/2007/10/october-marks-10th-anniversary-mcgraw-tower-pumpkin-prank,0,2017-10-27 18:31:42,0,0,0,0,0,0,0,0
10155945144449781_10155945745454781,122150409780_10155945144449781,,Alejandro 420 niceeee,0,2017-10-27 17:31:12,1,1,0,0,0,0,0,0
10155945144449781_10155946477614781,122150409780_10155945144449781,10155945144449781_10155945745454781,Hahahahaha,0,2017-10-28 00:03:17,1,1,0,0,0,0,0,0
10155945144449781_10155945936419781,122150409780_10155945144449781,,,0,2017-10-27 18:13:31,0,0,0,0,0,0,0,0
10155945144449781_10155946005534781,122150409780_10155945144449781,,Erin Xavier remember our pumpkin buddy last year at MOM?,0,2017-10-27 18:53:56,1,1,0,0,0,0,0,0
10155945144449781_10155947078944781,122150409780_10155945144449781,10155945144449781_10155946005534781,OMG he was the best.,0,2017-10-28 06:11:22,0,0,0,0,0,0,0,0
10155945144449781_10155949319704781,122150409780_10155945144449781,,,0,2017-10-28 23:54:46,0,0,0,0,0,0,0,0
10155945144449781_10155946430504781,122150409780_10155945144449781,,Larra Joyce Santiago “HELP” lol,0,2017-10-27 23:27:47,1,1,0,0,0,0,0,0
10155945144449781_10155946519869781,122150409780_10155945144449781,,Ramzy Saoud 420 lb lol,0,2017-10-28 00:17:50,1,0,0,1,0,0,0,0
10155945144449781_10155946433104781,122150409780_10155945144449781,,Muir college?,0,2017-10-27 23:30:07,0,0,0,0,0,0,0,0
10155945144449781_10155946675244781,122150409780_10155945144449781,,Isis Lee that help sign 😂,0,2017-10-28 01:30:11,1,1,0,0,0,0,0,0
10155945144449781_10155948814479781,122150409780_10155945144449781,,Shine Cho,0,2017-10-28 18:20:18,2,1,0,1,0,0,0,0
10155945144449781_10155945948424781,122150409780_10155945144449781,,Mengying Li I'm always like wtf every year lol,0,2017-10-27 18:20:21,0,0,0,0,0,0,0,0
10155945144449781_10155945784589781,122150409780_10155945144449781,,Karina Mar,0,2017-10-27 17:40:42,0,0,0,0,0,0,0,0
10155945144449781_10155946433944781,122150409780_10155945144449781,,Matt Jin splat,0,2017-10-27 23:30:37,1,1,0,0,0,0,0,0
10155945144449781_10155946215949781,122150409780_10155945144449781,,Jen Christensen Jennifer Haas,0,2017-10-27 21:12:36,1,1,0,0,0,0,0,0
10155945144449781_10155946226629781,122150409780_10155945144449781,10155945144449781_10155946215949781,Yes!!!! hahaha 😁,0,2017-10-27 21:19:43,0,0,0,0,0,0,0,0
10155945144449781_10155947110039781,122150409780_10155945144449781,10155945144449781_10155946215949781,"But wait, this one is filled with candy?",0,2017-10-28 06:33:12,0,0,0,0,0,0,0,0
10155945144449781_10155947982934781,122150409780_10155945144449781,,Kajal Soni,0,2017-10-28 12:36:18,1,1,0,0,0,0,0,0
10155945144449781_10155948870539781,122150409780_10155945144449781,10155945144449781_10155947982934781,Every year bro,0,2017-10-28 18:58:22,0,0,0,0,0,0,0,0
10155945144449781_10155945655084781,122150409780_10155945144449781,,Isabella Pulido 😂😂,0,2017-10-27 17:07:20,0,0,0,0,0,0,0,0
10155945144449781_10155946429034781,122150409780_10155945144449781,10155945144449781_10155945655084781,🤦🏻‍♀️,0,2017-10-27 23:26:01,0,0,0,0,0,0,0,0
